input,gold_hard,fine_label,llm_soft,llm_hard
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",location,35,"[{'location': -0.24728198, 'description': -1.528448, 'entity': -6.132734, 'n': -10.218382, 'ab': -14.905767}]",location
In what year did Thatcher become prime minister ?,numeric value,39,"[{'n': -4.859278e-05, 'entity': -10.081652, 'description': -12.149851, 'ab': -13.508066, 'location': -16.572916}]",n
How many months does it take the moon to revolve around the Earth ?,numeric value,38,"[{'n': -1.3823812e-06, 'entity': -14.161699, 'description': -14.279702, 'ab': -16.247253, 'location': -19.463776}]",n
Where are the 49 steps ?,location,35,"[{'location': -1.2351458e-05, 'n': -12.2505455, 'description': -12.375561, 'entity': -12.618611, 'ab': -16.29906}]",location
In what year was De Gaulle elected president of France ?,numeric value,39,"[{'n': -3.7863996e-05, 'entity': -10.236915, 'ab': -13.697211, 'description': -14.026359, 'location': -16.019331}]",n
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,human being,29,"[{'human': -0.116587356, 'entity': -2.3322551, 'description': -4.3469872, 'n': -10.802446, 'ab': -12.672335}]",human
Who directed `` Jaws '' ?,human being,29,"[{'human': -0.22050652, 'entity': -1.6239643, 'description': -7.2228403, 'n': -10.395601, 'ab': -11.530236}]",human
On what T.V. show could Tom Terrific be found ?,entity,5,"[{'description': -0.6575603, 'entity': -0.7548732, 'human': -4.4654446, 'location': -8.823942, 'n': -9.095228}]",description
What Indian tribe is F Troop perpetually doing battle with ?,human being,28,"[{'entity': -0.053545263, 'description': -2.9584525, 'human': -8.394381, 'location': -12.226646, 'ab': -12.466058}]",entity
Where did Indian Pudding come from ?,description,25,"[{'description': -0.27117953, 'location': -2.0201726, 'entity': -2.2555392, 'n': -9.79457, 'ab': -11.6055975}]",description
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,description,27,"[{'description': -6.051553e-05, 'entity': -9.734092, 'n': -13.841108, 'ab': -15.352842, 'human': -16.689375}]",description
How many colonies were involved in the American Revolution ?,numeric value,38,"[{'n': -6.8669196e-06, 'entity': -11.926146, 'description': -15.279524, 'ab': -16.630873, 'location': -19.519674}]",n
What is the name of the city that Maurizio Pellegrin lives in ?,location,32,"[{'location': -0.00031203084, 'entity': -8.122191, 'description': -11.365951, 'n': -12.752364, 'human': -14.803588}]",location
Where can I find pictorial directions on how to build a very simple treehouse ?,location,35,"[{'description': -0.00087181124, 'entity': -7.0657597, 'location': -11.052712, 'n': -13.458123, 'human': -15.0374775}]",description
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",entity,17,"[{'entity': -0.15465231, 'description': -1.9455687, 'location': -8.078069, 'n': -9.624439, 'ab': -12.558576}]",entity
What is the name of the managing director of Apricot Computer ?,human being,29,"[{'human': -0.025513293, 'entity': -3.6840518, 'description': -9.661682, 'n': -12.406753, 'location': -13.746628}]",human
What is the occupation of Nicholas Cage ?,human being,30,"[{'human': -0.09718743, 'entity': -2.7155268, 'description': -3.6334727, 'n': -11.024487, 'ab': -13.11047}]",human
Why do horseshoes bring luck ?,description,27,"[{'description': -0.0004614594, 'entity': -7.71619, 'n': -11.288775, 'human': -12.884982, 'location': -14.687289}]",description
"What is the 401 , K , plan ?",description,24,"[{'ab': -0.052854598, 'entity': -3.7234173, 'n': -4.0858974, 'description': -4.555113, 'human': -12.0498705}]",ab
What causes pneumonia ?,description,27,"[{'description': -5.944078e-05, 'entity': -9.754103, 'n': -13.605741, 'human': -16.549183, 'location': -17.066412}]",description
What are the three winter months in the southern hemisphere ?,numeric value,39,"[{'description': -0.6551648, 'n': -0.99072844, 'location': -2.6651745, 'entity': -3.2561474, 'ab': -6.750799}]",description
What does gringo mean ?,description,24,"[{'description': -0.080995515, 'entity': -2.756998, 'ab': -4.2465076, 'n': -12.121119, 'location': -14.896318}]",description
What country contains Africa 's northernmost point ?,location,33,"[{'location': -0.0003718351, 'entity': -7.910276, 'description': -12.614934, 'n': -13.483541, 'ab': -15.904569}]",location
What therapy attempts to elicit the `` primal scream '' ?,entity,7,"[{'description': -0.00022313965, 'entity': -8.414499, 'human': -13.858468, 'n': -14.991693, 'ab': -15.836793}]",description
Where is the Kalahari desert ?,location,35,"[{'location': -1.2588937e-05, 'entity': -11.465908, 'n': -13.656087, 'description': -13.867436, 'ab': -16.877918}]",location
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,human being,28,"[{'location': -0.6642631, 'entity': -0.9227318, 'description': -2.4330468, 'n': -9.056894, 'human': -10.907991}]",location
What city is sometimes called Gotham ?,location,32,"[{'location': -0.0010696516, 'entity': -7.193567, 'description': -8.101427, 'ab': -11.242295, 'n': -13.454392}]",location
What dangles over the tongue from the palate ?,entity,3,"[{'description': -0.00017329915, 'entity': -8.668645, 'n': -13.766874, 'human': -15.52059, 'location': -15.871984}]",description
Who created Dennis the Menace ?,human being,29,"[{'human': -0.04715443, 'entity': -3.1073122, 'description': -6.626332, 'n': -11.316724, 'location': -13.585422}]",human
What dummy received an honorary degree from Northwestern University ?,human being,29,"[{'entity': -0.65951693, 'human': -0.78439486, 'description': -3.6556103, 'location': -7.9177337, 'n': -8.166589}]",entity
When was the first Wall Street Journal published ?,numeric value,39,"[{'n': -0.027277403, 'entity': -3.67351, 'description': -6.5824604, 'ab': -9.031214, 'location': -11.618761}]",n
What countries have the largest areas of forest ?,location,33,"[{'location': -0.6730826, 'entity': -0.9897558, 'description': -2.1417792, 'n': -7.1942153, 'human': -13.669335}]",location
How do I start a web based business ?,description,26,"[{'description': -0.004649677, 'entity': -5.3740726, 'n': -12.837749, 'location': -14.116054, 'human': -15.358339}]",description
Name Alvin 's brothers,human being,29,"[{'human': -0.3394668, 'entity': -1.4241989, 'description': -3.0556457, 'n': -9.856351, 'location': -12.480564}]",human
What is Eagle 's syndrome styloid process ?,description,24,"[{'description': -0.36404294, 'entity': -1.1871784, 'ab': -10.215766, 'n': -10.977271, 'location': -12.767743}]",description
How did Jayne Mansfield die ?,description,26,"[{'description': -0.27429762, 'entity': -1.5935419, 'human': -3.3067758, 'n': -10.0718975, 'location': -11.352597}]",description
When did the royal wedding of Prince Andrew and Fergie take place ?,numeric value,39,"[{'n': -0.89995325, 'entity': -0.91832477, 'description': -1.6605427, 'location': -5.8412294, 'ab': -7.216825}]",n
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,human being,29,"[{'human': -0.11937454, 'entity': -2.3504078, 'description': -4.0662127, 'n': -10.296811, 'ab': -11.267575}]",human
What explorer was nicknamed Iberia 's Pilot ?,human being,29,"[{'entity': -0.65631646, 'human': -1.0116402, 'description': -2.1419733, 'location': -9.084074, 'n': -9.923642}]",entity
CNN began broadcasting in what year ?,numeric value,39,"[{'n': -4.4818075e-06, 'entity': -12.64368, 'description': -13.865696, 'ab': -14.947285, 'location': -17.814327}]",n
What is a ball that hits the foul pole called ?,entity,21,"[{'description': -0.12262605, 'entity': -2.160048, 'n': -9.537832, 'location': -11.7510805, 'ab': -12.12605}]",description
What makes hamburgers taste like steakburgers ?,description,27,"[{'description': -2.5744682e-06, 'entity': -13.051347, 'n': -14.699076, 'ab': -18.606707, 'location': -19.115107}]",description
Which company created the Internet browser Mosaic ?,human being,28,"[{'entity': -0.0002454927, 'description': -8.319802, 'n': -14.10746, 'human': -14.238061, 'ab': -14.682045}]",entity
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,entity,8,"[{'description': -0.12257362, 'entity': -2.160301, 'human': -10.496535, 'ab': -10.532195, 'n': -11.312774}]",description
What was the education system in the 1960 's ?,entity,13,"[{'description': -6.802381e-05, 'entity': -9.632224, 'n': -13.031234, 'location': -15.770545, 'ab': -16.807295}]",description
What South American city has the world 's highest commercial landing field ?,location,32,"[{'location': -0.00045132102, 'entity': -7.766671, 'description': -10.705277, 'n': -12.341195, 'ab': -14.126634}]",location
How can I find out which cities have cable-modem access ?,description,26,"[{'location': -0.036119368, 'description': -3.9576433, 'entity': -4.117784, 'n': -9.365046, 'ab': -14.5385685}]",location
What is Betsy Ross famous for ?,description,27,"[{'description': -0.0016631151, 'entity': -6.400299, 'n': -15.229743, 'human': -15.237106, 'location': -15.401633}]",description
How many species of sharks are there ?,numeric value,38,"[{'n': -0.00023631456, 'entity': -8.361473, 'description': -12.945495, 'ab': -15.283759, 'location': -17.59677}]",n
What is `` snoogans '' ?,description,24,"[{'ab': -0.19197696, 'entity': -1.8429167, 'description': -4.1160946, 'n': -11.440772, 'location': -14.868079}]",ab
How many people are there in the world ?,numeric value,38,"[{'n': -1.9028084e-05, 'entity': -10.909701, 'description': -14.313136, 'human': -15.956326, 'ab': -16.283146}]",n
What shrubs can be planted that will be safe from deer ?,entity,14,"[{'description': -0.008443457, 'entity': -4.779096, 'n': -12.7555895, 'location': -13.540005, 'human': -16.407629}]",description
What organization 's offices were broken into at Watergate in 1972 ?,human being,28,"[{'entity': -0.006543405, 'location': -5.6297426, 'description': -5.9210553, 'ab': -8.327297, 'n': -12.015057}]",entity
What is the design of the ship Titanic ?,description,25,"[{'description': -0.00015112259, 'entity': -8.803495, 'n': -13.863035, 'location': -18.705793, 'ab': -18.929998}]",description
What does S.O.S. stand for ?,abbreviation,1,"[{'ab': -7.818713e-06, 'entity': -12.065237, 'n': -13.439567, 'description': -14.084188, 'location': -20.768118}]",ab
Name a technique widely used to detect birth defects ?,entity,20,"[{'description': -0.007904776, 'entity': -4.8531346, 'n': -9.694352, 'human': -11.9624405, 'location': -13.798996}]",description
What is the daily requirement of folic acid for an expectant mother ?,description,25,"[{'n': -0.0028696302, 'description': -6.1288385, 'entity': -7.2957315, 'ab': -12.159683, 'human': -12.874565}]",n
What is the `` 7-minute cigarette '' ?,description,24,"[{'description': -0.05309914, 'entity': -3.3048003, 'ab': -4.1994457, 'n': -12.809049, 'human': -14.2936}]",description
What four forms does gold occur in ?,entity,13,"[{'description': -0.0021683988, 'entity': -6.203767, 'n': -8.846513, 'human': -15.473001, 'location': -15.975786}]",description
What is the acreage of the Chappellet vineyard ?,numeric value,48,"[{'n': -0.0001486192, 'entity': -8.880862, 'description': -11.587558, 'location': -15.121486, 'ab': -16.495935}]",n
How do you correctly say the word ` qigong ' ?,description,26,"[{'description': -0.0036192064, 'entity': -6.009822, 'ab': -6.7726393, 'human': -11.724375, 'n': -12.227655}]",description
When did beethoven die ?,numeric value,39,"[{'n': -0.02056771, 'entity': -4.079436, 'description': -5.9747224, 'human': -7.2847505, 'ab': -8.748778}]",n
How much does a new railroad coal car cost ?,numeric value,41,"[{'n': -0.0003438117, 'entity': -8.001916, 'description': -11.669587, 'ab': -14.797142, 'location': -17.866035}]",n
What two European countries entered the War of American Independence against the British ?,location,33,"[{'entity': -0.12542218, 'location': -2.2041576, 'description': -4.921839, 'n': -8.56605, 'human': -10.206438}]",entity
What is the filmmakers collabrative ?,description,24,"[{'entity': -0.20430939, 'description': -1.7006853, 'ab': -6.106531, 'n': -13.344987, 'location': -13.63022}]",entity
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,human being,29,"[{'entity': -0.17772105, 'description': -1.8178196, 'human': -7.747667, 'n': -11.977922, 'ab': -12.032929}]",entity
What caused Harry Houdini 's death ?,description,27,"[{'description': -0.0037834318, 'entity': -5.5820456, 'n': -11.917883, 'human': -12.401219, 'location': -14.67481}]",description
"Who was the mother of the man who would not be king , the duke of Windsor ?",human being,29,"[{'human': -0.25911963, 'entity': -1.6274514, 'description': -3.4480917, 'n': -10.77524, 'location': -11.342295}]",human
How many revolutions does a standard LP make in three minutes ?,numeric value,38,"[{'n': -3.076318e-07, 'entity': -15.077126, 'description': -16.675987, 'ab': -17.07914, 'location': -20.432999}]",n
What is the name of the tallest mountain in the world ?,location,34,"[{'entity': -0.04810088, 'location': -3.4192786, 'description': -4.2765326, 'n': -8.030042, 'human': -12.01766}]",entity
Where can I find a review of Nightmare on Elm Street in a film journal ?,location,35,"[{'description': -0.034688678, 'entity': -3.3863196, 'location': -8.302922, 'n': -11.552488, 'human': -12.845616}]",description
What 's the slowest Olympic swimming stroke ?,entity,20,"[{'description': -0.0020596883, 'entity': -6.1937933, 'n': -11.59175, 'human': -12.591834, 'ab': -12.800657}]",description
What was the name of the first Russian astronaut to do a spacewalk ?,human being,29,"[{'entity': -0.16781688, 'human': -1.9244848, 'description': -4.7659535, 'n': -10.984757, 'location': -11.797203}]",entity
What disease is transmitted by the Anopheles mosquito ?,entity,7,"[{'description': -0.15732981, 'entity': -1.9271281, 'n': -12.012821, 'ab': -12.579327, 'human': -13.21503}]",description
What rum is so `` mixable '' it is a one-brand bar ?,entity,9,"[{'description': -0.049538523, 'entity': -3.0299153, 'ab': -11.895927, 'n': -12.684548, 'human': -13.360757}]",description
